id,sexo,zona,macrozona,region,edad,p1_anyo,p1_mes,p2,p3,p4,p5,p6,p7,p8,p9_1,p9_2,p9_3,p9_4,p9_5
1920,1,2,4,13,49,1967,1,6,3,NA,NA,8,8,5,3,3,10,8,6
1931,2,1,3,14,29,1986,6,8,3,NA,NA,8,8,10,10,10,10,10,10
1932,2,1,3,14,26,1989,11,5,1,1,NA,5,8,5,10,10,6,8,10
1934,2,1,3,14,60,1956,1,1,2,1,NA,6,6,8,6,6,7,7,1
1938,1,2,3,8,25,1991,4,5,3,NA,NA,8,9,8,9,9,9,9,9
1939,1,2,3,8,59,1956,5,4,9,NA,NA,8,9,10,9,9,10,9,8
1964,2,2,4,13,44,1971,11,4,1,2,3,7,9,9,8,10,7,5,9
1966,1,2,3,8,26,1990,4,5,3,NA,NA,9,8,8,7,8,6,9,9
1973,2,2,4,13,24,1992,4,5,1,3,2,8,6,5,9,6,5,10,10
1975,2,2,4,13,56,1959,11,1,1,2,1,10,10,4,4,4,5,5,5
1985,2,2,4,13,60,1956,1,7,1,1,NA,6,10,10,10,10,10,10,10
1998,1,2,4,13,39,1976,6,8,1,3,1,5,5,5,5,4,3,5,5
2013,2,2,2,5,65,1950,12,5,3,NA,NA,7,10,10,10,10,10,10,10
2026,1,2,2,5,21,1994,5,5,3,NA,NA,5,9,10,10,10,10,10,10
2047,1,2,2,6,62,1954,1,5,3,NA,NA,10,10,3,6,7,7,7,8
2051,2,2,1,3,45,1971,3,1,1,2,1,7,10,4,3,3,2,7,4
2089,2,2,1,3,50,1966,3,1,1,1,NA,5,5,7,8,7,8,7,8
2100,1,2,2,5,44,1972,1,8,1,2,3,6,9,10,10,10,10,10,10
2101,2,2,2,5,36,1979,12,5,1,2,3,6,9,10,10,7,7,10,10
2108,2,1,2,7,54,1962,4,3,1,1,NA,10,10,10,10,10,10,10,10
2139,1,2,4,13,43,1972,7,1,1,3,3,8,9,10,8,7,6,10,9
2146,1,2,4,13,81,1934,11,2,2,1,NA,8,8,9,8,9,7,10,7
2151,2,2,4,13,33,1982,8,4,1,2,3,9,10,9,10,10,8,8,9
2155,1,2,4,13,26,1989,6,5,3,NA,NA,3,8,9,9,8,8,8,8
2166,1,1,4,13,70,1946,2,1,1,1,NA,5,5,7,8,7,7,7,7
2169,2,1,4,13,80,1936,1,7,1,1,NA,6,5,6,5,6,5,5,5
2174,2,2,4,13,54,1961,7,4,1,1,NA,6,10,10,10,10,10,10,10
2178,2,2,4,13,63,1952,5,1,2,1,NA,9,8,9,8,10,10,8,9
2188,1,2,4,13,22,1993,9,5,3,NA,NA,7,8,7,7,8,7,6,7
2196,2,1,4,13,64,1952,2,1,3,NA,NA,10,8,10,88,10,5,6,10
2238,1,2,2,5,28,1987,10,5,3,NA,NA,10,10,10,6,8,10,7,9
2269,2,2,4,13,74,1941,7,7,2,1,NA,7,10,9,8,8,8,8,9
2287,2,1,4,13,23,1992,10,8,1,2,1,6,6,5,4,5,5,5,4
2290,2,2,2,6,73,1942,12,7,1,1,NA,5,8,10,10,10,8,9,8
2311,1,2,4,13,68,1948,1,1,2,1,NA,7,3,10,5,10,10,6,8
2314,1,1,4,13,68,1948,3,3,1,2,1,5,7,10,5,10,5,5,5
2316,2,1,4,13,52,1963,12,1,1,1,NA,7,8,10,8,10,7,7,7
